1,厦门市,2014-05-15,47,优
2,厦门市,2014-05-14,45,优
3,厦门市,2014-05-13,47,优
4,厦门市,2014-05-12,65,良,NO2
5,厦门市,2014-05-11,64,良,NO2
6,厦门市,2014-05-10,59,良,NO2
7,厦门市,2014-05-09,59,良,NO2
8,厦门市,2014-05-08,79,良,PM2.5
9,厦门市,2014-05-07,88,良,NO2
10,厦门市,2014-05-06,84,良,臭氧8小时
11,厦门市,2014-05-05,52,良,臭氧8小时
12,厦门市,2014-05-04,69,良,臭氧8小时
13,厦门市,2014-05-03,86,良,臭氧8小时
14,厦门市,2014-05-02,90,良,臭氧8小时
15,厦门市,2014-05-01,73,良,NO2
16,厦门市,2014-04-30,67,良,PM2.5
17,厦门市,2014-04-29,83,良,臭氧8小时
18,厦门市,2014-04-28,85,良,臭氧8小时
19,厦门市,2014-04-27,78,良,PM2.5
20,厦门市,2014-04-26,101,轻度污染,NO2
21,厦门市,2014-04-25,65,良,PM2.5
22,厦门市,2014-04-24,66,良,臭氧8小时
23,厦门市,2014-04-23,56,良,PM10
24,厦门市,2014-04-22,54,良,PM10
25,厦门市,2014-04-21,64,良,臭氧8小时
26,厦门市,2014-04-20,55,良,PM10
27,厦门市,2014-04-19,53,良,PM10
28,厦门市,2014-04-18,65,良,NO2
29,厦门市,2014-04-17,54,良,"NO2,PM10"
30,厦门市,2014-04-16,65,良,"NO2,PM10,臭氧8小时"
31,厦门市,2014-04-15,88,良,臭氧8小时
32,厦门市,2014-04-14,65,良,臭氧8小时
33,厦门市,2014-04-13,57,良,NO2
34,厦门市,2014-04-12,63,良,NO2
35,厦门市,2014-04-11,80,良,臭氧8小时
36,厦门市,2014-04-10,90,良,臭氧8小时
37,厦门市,2014-04-09,75,良,臭氧8小时
38,厦门市,2014-04-08,85,良,PM2.5
39,厦门市,2014-04-07,60,良,臭氧8小时
40,厦门市,2014-04-06,80,良,臭氧8小时
41,厦门市,2014-04-05,95,良,臭氧8小时
42,厦门市,2014-04-04,90,良,臭氧8小时
43,厦门市,2014-04-03,78,良,NO2
44,厦门市,2014-04-02,58,良,NO2
45,厦门市,2014-04-01,55,良,臭氧8小时
46,厦门市,2014-03-31,101,轻度污染,臭氧8小时
47,厦门市,2014-03-30,85,良,臭氧8小时
48,厦门市,2014-03-29,82,良,NO2
49,厦门市,2014-03-28,80,良,NO2
50,厦门市,2014-03-27,93,良,臭氧8小时
51,厦门市,2014-03-26,104,轻度污染,NO2
52,厦门市,2014-03-25,103,轻度污染,NO2
53,厦门市,2014-03-24,138,轻度污染,臭氧8小时
54,厦门市,2014-03-23,64,良,NO2
55,厦门市,2014-03-22,72,良,臭氧8小时
56,厦门市,2014-03-21,75,良,臭氧8小时
57,厦门市,2014-03-20,60,良,PM10
58,厦门市,2014-03-19,70,良,NO2
59,厦门市,2014-03-18,92,良,NO2
60,厦门市,2014-03-17,93,良,PM2.5
61,厦门市,2014-03-16,101,轻度污染,NO2
62,厦门市,2014-03-15,90,良,NO2
63,厦门市,2014-03-14,95,良,PM2.5
64,厦门市,2014-03-13,84,良,PM2.5
65,厦门市,2014-03-12,107,轻度污染,PM2.5
66,厦门市,2014-03-11,85,良,NO2
67,厦门市,2014-03-10,53,良,PM10
68,厦门市,2014-03-09,47,优
69,厦门市,2014-03-08,53,良,NO2
70,厦门市,2014-03-07,38,优
71,厦门市,2014-03-06,62,良,臭氧8小时
72,厦门市,2014-03-05,57,良,PM10
73,厦门市,2014-03-04,82,良,NO2
74,厦门市,2014-03-03,53,良,PM10
75,厦门市,2014-03-02,45,优
76,厦门市,2014-03-01,95,良,NO2
77,厦门市,2014-02-28,58,良,NO2
78,厦门市,2014-02-27,54,良,臭氧8小时
79,厦门市,2014-02-26,111,轻度污染,NO2
80,厦门市,2014-02-25,69,良,PM2.5
81,厦门市,2014-02-24,59,良,NO2
82,厦门市,2014-02-23,57,良,NO2
83,厦门市,2014-02-22,61,良,臭氧8小时
84,厦门市,2014-02-21,61,良,臭氧8小时
85,厦门市,2014-02-20,53,良,臭氧8小时
86,厦门市,2014-02-19,40,优
87,厦门市,2014-02-18,48,优
88,厦门市,2014-02-17,78,良,二氧化氮
89,厦门市,2014-02-16,69,良,二氧化氮
90,厦门市,2014-02-07,35,优
91,厦门市,2014-02-05,48,优
92,厦门市,2014-02-03,81,良,臭氧8小时
93,厦门市,2014-01-31,152,中度污染,PM2.5
94,厦门市,2014-01-30,78,良,NO2
95,厦门市,2014-01-29,63,良,NO2
96,厦门市,2014-01-28,63,良,NO2
97,厦门市,2014-01-27,51,良,臭氧8小时
98,厦门市,2014-01-26,132,轻度污染,PM2.5
99,厦门市,2014-01-25,101,轻度污染,NO2
100,厦门市,2014-01-24,87,良,NO2
101,厦门市,2014-01-23,60,良,PM2.5
102,厦门市,2014-01-22,58,良,PM2.5
103,厦门市,2014-01-21,90,良,PM2.5
104,厦门市,2014-01-20,95,良,PM2.5
105,厦门市,2014-01-19,100,良,PM2.5
106,厦门市,2014-01-18,98,良,臭氧8小时
107,厦门市,2014-01-17,113,轻度污染,NO2
108,厦门市,2014-01-16,54,良,NO2
109,厦门市,2014-01-15,62,良,PM2.5
110,厦门市,2014-01-14,41,优
111,厦门市,2014-01-13,49,优
112,厦门市,2014-01-12,59,良,NO2
113,厦门市,2014-01-11,58,良,NO2
114,厦门市,2014-01-10,51,良,PM10
115,厦门市,2014-01-09,51,良,PM10
116,厦门市,2014-01-08,104,轻度污染,NO2
117,厦门市,2014-01-07,88,良,NO2
118,厦门市,2014-01-06,82,良,PM2.5
119,厦门市,2014-01-05,142,轻度污染,PM2.5
120,厦门市,2014-01-04,140,轻度污染,PM2.5
121,厦门市,2014-01-03,148,轻度污染,PM2.5
122,厦门市,2014-01-02,113,轻度污染,NO2
123,厦门市,2014-01-01,104,轻度污染,NO2
